,,,,,,,,,2004 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,
34,"STAUSS, GINSIE",32,3:07:00,29,3:48:00,27,3:55:00,42,7:18:00,47,7:15:00,43,4:46:00,39,2:32:00,46,9:16:00,46,7:41:00,26,3:42:00,40,4:18:00,,,,,,
731,"MANNING, A.",32,3:07:00,30,6:55:00,28,10:50:00,36,18:08:00,35,25:23:00,36,30:09:00,35,32:41:00,35,41:57:00,34,49:38:00,33,53:20:00,34,57:38:00,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,4TH NOVICE,,12:13:00,,16:24:00,,20:23:00,,7:25:00,,13:59:00,,18:05:00,,20:30:00,,3:10:00,,10:54:00,,14:10:00,,18:51:00,,,,,,
35,"DANSON, JEREMY",37,3:13:00,44,4:11:00,30,3:59:00,57,11:02:00,33,6:34:00,27,4:06:00,35,2:25:00,29,6:40:00,47,7:44:00,14,3:16:00,47,4:41:00,,,,,,
2010,HAMILTON M,37,3:13:00,41,7:24:00,34,11:23:00,47,22:25:00,47,28:59:00,44,33:05:00,42,35:30:00,36,42:10:00,36,49:54:00,32,53:10:00,35,57:51:00,,,,,,
,"DANSON, B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,9TH UNLIMITED,,12:16:00,,16:13:00,,20:27:00,,3:42:00,,10:44:00,,15:08:00,,17:41:00,,6:15:00,,11:35:00,,15:43:00,,19:46:00,,,,,,
36,"SLAUGHTER, TED",41,3:16:00,34,3:57:00,39,4:14:00,41,7:15:00,44,7:02:00,37,4:24:00,41,2:33:00,55,12:34:00,17,5:20:00,37,4:08:00,36,4:03:00,,,,,,
604,"SLAUGHTER, BODWIN",41,3:16:00,37,7:13:00,37,11:27:00,37,18:42:00,37,25:44:00,35,30:08:00,36,32:41:00,39,45:15:00,37,50:35:00,37,54:43:00,36,58:46:00,,,,,,
,SLAUGHTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,O'SULLIVAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,7TH STANDARD,,12:32:00,,16:40:00,,21:18:00,,6:46:00,,13:25:00,,17:45:00,,20:04:00,,7:05:00,,12:47:00,,17:15:00,,19:55:00,,,,,,
37,"PARKER, MARKER",48,3:32:00,49,4:17:00,46,4:29:00,54,9:28:00,37,6:39:00,33,4:20:00,29,2:19:00,52,11:01:00,23,5:42:00,46,4:28:00,6,2:40:00,,,,,,
555,"PARKER, LUKE",48,3:32:00,47,7:49:00,46,12:18:00,45,21:46:00,44,28:25:00,42,32:45:00,40,35:04:00,40,46:05:00,39,51:47:00,40,56:15:00,37,58:55:00,,,,,,
,"PARKER, CHARLES",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,6TH SOLO UNLIMITED,,12:05:00,,16:02:00,,20:09:00,,7:15:00,,13:28:00,,17:52:00,,20:10:00,,7:07:00,,13:21:00,,16:40:00,,20:13:00,,,,,,
38,"SEALE, J.",29,3:05:00,32,3:57:00,34,4:07:00,58,11:06:00,21,6:13:00,38,4:24:00,28,2:18:00,51,10:57:00,32,6:14:00,15,3:19:00,25,3:33:00,,,,,,
818,"LAROE, C.",29,3:05:00,31,7:02:00,33,11:09:00,46,22:15:00,45,28:28:00,43,32:52:00,41,35:10:00,41,46:07:00,41,52:21:00,39,55:40:00,38,59:13:00,,,,,,
,,, ,,,,,,,,,,,,,,,,, ,,,,,,,,,
 ,1ST USCA C-1,,11:58:00,,15:52:00,,19:45:00,,2:17:00,,12:15:00,,17:30:00,,20:41:00,,5:41:00,,12:26:00,,16:20:00,,20:13:00,,,,,,
39,"ROBINSON, GARY",26,2:58:00,31,3:54:00,25,3:53:00,35,6:32:00,61,9:58:00,48,5:15:00,52,3:11:00,44,9:00:00,38,6:45:00,29,3:54:00,30,3:53:00,,,,,,
420,"SIMMONS, MARK",26,2:58:00,28,6:52:00,26,10:45:00,32,17:17:00,39,27:15:00,40,32:30:00,43,35:41:00,38,44:41:00,38,51:26:00,38,55:20:00,39,59:13:00,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,7TH SOLO UNLIMITED,,12:05:00,,16:03:00,,20:24:00,,4:26:00,,10:36:00,,15:06:00,,17:40:00,,2:52:00,,10:38:00,,14:35:00,,20:18:00,,,,,,
40,"MRAZ, ZOLTAN",30,3:05:00,35,3:58:00,41,4:21:00,44,8:02:00,20,6:10:00,41,4:30:00,42,2:34:00,45,9:12:00,48,7:46:00,30,3:57:00,55,5:43:00,,,,,,
939,"STRICKER, R.",30,3:05:00,34,7:03:00,35,11:24:00,39,19:26:00,36,25:36:00,34,30:06:00,34,32:40:00,34,41:52:00,35,49:38:00,36,53:35:00,40,59:18:00,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,6TH ALUMINUM,,12:43:00,,16:54:00,,21:53:00,,6:42:00,,13:28:00,,18:30:00,,21:02:00,,7:15:00,,13:21:00,,17:30:00,,22:18:00,,,,,,
41,"ROTAN, J",56,3:43:00,45,4:11:00,52,4:59:00,50,8:49:00,39,6:46:00,47,5:02:00,40,2:32:00,50,10:13:00,29,6:06:00,38,4:09:00,47,4:48:00,,,,,,
1204,"CLARK, D.",56,3:43:00,51,7:54:00,51,12:53:00,44,21:42:00,46,28:28:00,45,33:30:00,44,36:02:00,42,46:15:00,40,52:51:00,41,56:30:00,41,61:18:00,,,,,,
,"WICK, J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,3RD WOMEN'S SOLO,,12:12:00,,16:23:00,,20:44:00,,3:55:00,,12:26:00,,17:15:00,,21:23:00,,10:39:00,,16:58:00,,20:25:00,,0:56:00,,,,,,
42,"LANE, DEBRA",36,3:12:00,43,4:11:00,43,4:21:00,40,7:11:00,61,8:31:00,44,4:49:00,55,4:08:00,56,13:16:00,35,6:19:00,19,3:27:00,44,4:31:00,,,,,,
4,"MYNAR, RENEE",36,3:12:00,40,7:23:00,40,11:44:00,38,18:55:00,40,27:26:00,39,32:15:00,45,36:23:00,47,49:39:00,44,55:58:00,43,59:25:00,42,63:56:00,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,7TH ALUMINUM,,12:36:00,,17:15:00,,22:30:00,,8:17:00,,14:45:00,,19:05:00,,0:23:00,,9:50:00,,17:38:00,,21:45:00,,2:06:00,,,,,,
43,"WARD, J",54,3:36:00,54,4:39:00,54,5:15:00,56,9:47:00,29,6:28:00,34,4:20:00,58,5:18:00,47,9:27:00,50,7:48:00,36,4:07:00,41,4:21:00,,,,,,
3742,"WARD, J",54,3:36:00,55,8:15:00,53,13:30:00,50,23:17:00,49,29:45:00,47,34:05:00,48,39:23:00,45,48:50:00,46,56:38:00,45,60:45:00,43,65:06:00,,,,,,
,NO TC?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,8TH SOLO UNLIMITED,,12:16:00,,16:36:00,,20:45:00,,9:32:00,,16:06:00,,20:02:00,,0:23:00,,9:58:00,,16:58:00,,21:49:00,,2:10:00,,,,,,
44,"RHUDE, D",42,3:16:00,50,4:20:00,36,4:09:00,62,12:47:00,34,6:34:00,21,3:56:00,56,4:21:00,48,9:35:00,42,7:00:00,50,4:51:00,42,4:21:00,,,,,,
62,"RHUDE, A",42,3:16:00,43,7:36:00,41,11:45:00,51,24:32:00,50,31:06:00,48,35:02:00,47,39:23:00,46,48:56:00,45,55:58:00,46,60:49:00,44,65:10:00,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,9TH  SOLO UNLIMITED,,12:46:00,,16:52:00,,21:31:00,,5:39:00,,12:42:00,,17:10:00,,19:34:00,,9:09:00,,16:57:00,,21:25:00,,2:15:00,,,,,,
45,"THOMAS, NORM",57,3:46:00,39,4:06:00,47,4:39:00,45,8:08:00,45,7:03:00,40,4:28:00,34,2:24:00,57,13:35:00,49,7:48:00,47,4:28:00,49,4:50:00,,,,,,
2001,"THOMAS, BRENDA",57,3:46:00,50,7:52:00,48,12:31:00,41,20:39:00,41,27:42:00,38,32:10:00,38,34:34:00,44,48:09:00,43,55:57:00,44,60:25:00,45,65:15:00,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,10TH UNLIMITED,,13:01:00,,17:57:00, ,23:52:00,,11:03:00,,18:23:00,,23:47:00,,3:30:00,,12:15:00,,20:15:00,,0:30:00,,6:00:00,,,,,,
46,"HUDSON, LOREN",59,4:01:00,60,4:56:00,57,5:55:00,59,11:11:00,50,7:20:00,49,5:24:00,54,3:43:00,43,8:45:00,51,8:00:00,43,4:15:00,53,5:30:00,,,,,,
1977,"SULLIVAN, PETE",59,4:01:00,58,8:57:00,56,14:52:00,54,26:03:00,53,33:23:00,49,38:47:00,49,42:30:00,48,51:15:00,47,59:15:00,47,63:30:00,46,69:00:00,,,,,,
,"SELLERS, J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"HUDSON, K.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,11TH UNLIMITED,,13:01:00,,18:02:00,,1:34:00,,10:34:00,,18:16:00,,2:52:00,,5:44:00,,13:16:00,,20:24:00,,1:30:00,,6:35:00,,,,,,
47,"WEST, E.",58,4:01:00,62,5:01:00,58,7:32:00,51,9:00:00,56,7:42:00,52,8:36:00,49,2:52:00,32,7:32:00,43,7:08:00,52,5:06:00,52,5:05:00,,,,,,
220,"WEST, A",58,4:01:00,61,9:02:00,60,16:34:00,52,25:34:00,52,33:16:00,50,41:52:00,50,44:44:00,49,52:16:00,48,59:24:00,48,64:30:00,47,69:35:00,,,,,,
,"WEST, OWEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WEST K.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,8TH ALUMINUM,,13:05:00,,17:58:00,,3:04:00,,11:17:00,,18:57:00,,3:04:00,,6:30:00,,14:38:00,,23:40:00,,4:15:00,,8:15:00,,,,,,
48,"PICKETT, A",61,4:05:00,58,4:53:00,61,9:06:00,47,8:13:00,54,7:40:00,51,8:07:00,53,3:26:00,36,8:08:00,52,9:02:00,46,4:35:00,33,4:00:00,,,,,,
1985,"PICKETT, D",61,4:05:00,59,8:58:00,61,18:04:00,57,26:17:00,54,33:57:00,51,42:04:00,51,45:30:00,50,53:38:00,50,62:40:00,49,67:15:00,48,71:15:00,,,,,,
,"STRUHALL, S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,5TH NOVICE,,12:30:00,,17:13:00,,1:32:00,,10:57:00,,17:50:00,,4:22:00,,7:05:00,,14:39:00,,21:29:00,,5:00:00,,9:00:00,,,,,,
49,"KEETH, C",47,3:30:00,56,4:43:00,59,8:19:00,53,9:25:00,41,6:53:00,55,10:32:00,44,2:43:00,33,7:34:00,41,6:50:00,56,7:31:00,34,4:00:00,,,,,,
1823,"ANDERSON, S.",47,3:30:00,54,8:13:00,59,16:32:00,53,25:57:00,51,32:50:00,53,43:22:00,52,46:05:00,51,53:39:00,49,60:29:00,50,68:00:00,49,72:00:00,,,,,,
,"ROBINSON, L.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,6TH NOVICE,,13:13:00,,18:23:00,,6:22:00,,13:04:00,,20:25:00,,6:22:00,,8:48:00,,16:24:00,,3:30:00,,7:27:00,,10:59:00,,,,,,
50,"BROWN, B.",64,4:13:00,64,5:10:00,65,11:59:00,38,6:42:00,51,7:21:00,54,9:57:00,36,2:26:00,34,7:36:00,55,11:06:00,31,3:57:00,23,3:32:00,,,,,,
1310,"TORREZ, A.",64,4:13:00,64,9:23:00,65,21:22:00,61,28:04:00,58,35:25:00,57,45:22:00,53,47:48:00,52,55:24:00,54,66:30:00,54,70:27:00,50,73:59:00,,,,,,
 ,"BROWN, C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,
 ,9TH ALUMINUM,,13:29:00,,18:44:00,,6:09:00,,13:30:00,,21:10:00,,6:12:00,,8:58:00,,17:34:00, ,0:22:00,,6:45:00,,11:36:00,,,,,,
51,"CATES, S.",66,4:29:00,67,5:15:00,63,11:25:00,43,7:21:00,55,7:40:00,53,9:02:00,47,2:46:00,42,8:36:00,39,6:48:00,54,6:23:00,50,4:51:00,,,,,,
9263,"HOGUE, A.",66,4:29:00,66,9:44:00,63,21:09:00,63,28:30:00,62,36:10:00,56,45:12:00,54,47:58:00,55,56:34:00,51,63:22:00,51,69:45:00,51,74:36:00,,,,,,
,"PRYOR, J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,,
 ,3RD TANDEM UNLIMITED,,13:06:00,,18:00:00,,23:05:00,,11:06:00,,19:06:00,,6:11:00, ,9:11:00,,17:34:00, ,3:03:00,,7:15:00,,11:41:00,,,,,,
52,"MENDENHALL, K.",62,4:06:00,59,4:54:00,53,5:05:00,61,12:01:00,59,8:00:00,56,11:05:00,50,3:00:00,38,8:23:00,53,9:29:00,41,4:12:00,43,4:26:00,,,,,,
1991,"MENDENHALL, T.",62,4:06:00,60,9:00:00,54,14:05:00,56,26:06:00,56,34:06:00,54,45:11:00,55,48:11:00,54,56:34:00,52,66:03:00,53,70:15:00,52,74:41:00,,,,,,
,MENDENHALL,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,, ,,,,,,,,,,,
 ,10TH SOLO UNLIMITED,,12:40:00,,17:50:00,,23:05:00,,11:06:00,,19:05:00,,6:11:00,,9:11:00,,17:29:00, ,3:05:00,,7:15:00,,11:49:00,,,,,,
53,"PAULSEN, K.",55,3:40:00,63,5:10:00,55,5:15:00,60,12:01:00,58,7:59:00,57,11:06:00,51,3:00:00,37,8:18:00,54,9:36:00,39,4:10:00,45,4:34:00,,,,,,
1011,"PAULSEN, K.",55,3:40:00,57,8:50:00,55,14:05:00,55,26:06:00,55,34:05:00,55,45:11:00,56,48:11:00,53,56:29:00,53,66:05:00,52,70:15:00,53,74:49:00,,,,,,
,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,
 ,12TH UNLIMITED,,13:05:00, ,18:20:00,,6:42:00,,13:19:00,,20:30:00, ,8:19:00,,11:07:00,,19:00:00, ,8:19:00,,12:21:00,,17:24:00,,,,,,
54,"ELVIG, M.",60,4:05:00,65,5:15:00,66,12:22:00,37,6:37:00,47,7:11:00,58,11:49:00,48,2:48:00,35,7:53:00,56,13:19:00,33,4:02:00,51,5:03:00,,,,,,
22,"ELVIG, J",60,4:05:00,63,9:20:00,66,21:42:00,62,28:19:00,59,55:30:00,58,47:19:00,58,50:07:00,56,58:00:00,55,71:19:00,55,75:21:00,54,80:24:00,,,,,,
,"ELVIG, J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LANDON A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,
 ,1TH SOLO UNLIMITED,,13:25:00,,18:40:00,,4:00:00,,12:38:00,,20:15:00,,3:20:00,,11:43:00,,21:55:00, ,14:10:00,,18:53:00,,0:56:00,,,,,,
55,"SMITH, B.",65,4:25:00,66,5:15:00,62,9:20:00,49,8:38:00,60,8:13:00,50,6:29:00,48,8:23:00,49,10:12:00,57,16:15:00,49,4:43:00,55,6:03:00,,,,,,
2367,"SMITH, D.",65,4:25:00,65,9:40:00,62,19:00:00,59,27:38:00,51,61:35:51,52,52:20:00,59,50:43:00,57,60:56:00,57,77:10:00,56,81:53:00,55,87:56:00,,,,,,
,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,
 ,12TH SOLO UNLIMITED,,12:34:00,,16:50:00,,20:54:00,,12:33:00,,19:07:00,,8:53:00,,13:40:00,,7:55:00, ,14:16:00,,19:08:00,,9:15:00,,,,,,
56,"JOHNSON, RANDY",51,3:34:00,48,4:16:00,33,4:04:00,63,15:39:00,35,6:34:00,59,13:46:00,57,4:47:00,58,18:15:00,33,6:15:00,51,4:58:00,56,14:07:00,,,,,,
78,"MORA, J.",51,3:34:00,49,7:50:00,43,11:54:00,58,27:33:00,57,34:07:00,59,47:53:00,60,52:40:00,58,70:55:00,56,77:10:00,57,82:08:00,56,96:15:00,,,,,,
,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,
 , ,,12:35:00,,17:36:00,,22:19:00,,8:00:00,,14:33:00,,18:56:00,,21:35:00,,8:52:00, ,14:31:00,,17:51:00,,22:17:00,,,,,,
57,SANDERFORD,52,3:35:00,61,5:01:00,50,4:43:00,55,9:41:00,32,6:33:00,36,4:23:00,43,2:39:00,53,11:17:00,22,5:39:00,16,3:20:00,43,4:26:00,,,,,,
213,"JOHNSON, M",52,3:35:00,56,8:36:00,52,13:19:00,48,23:00:00,48,29:33:00,46,33:56:00,46,36:35:00,43,47:52:00,42,53:31:00,42,56:51:00,41,DQ,,,,,,
,SANDERFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"NUNNERY, J.",,11:36:00,,14:50:00,,18:05:00,,22:23:00,,3:29:00,,7:03:00,,9:01:00,,13:30:00,,OUT,,,,,,,,,,
78,"TYRONE, R.",9,2:36:00,9,3:14:00,6,3:15:00,8,4:18:00,7,5:06:00,9,3:34:00,13,1:58:00,2,4:29:00,,,,,,,,,,,,
,"TYRONE, F.",9,2:36:00,9,5:50:00,8,9:05:00,9,13:23:00,9,18:29:00,9,22:03:00,9,24:01:00,8,28:30:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"WYATT, B.",,12:34:00,,16:48,,21:15:00,,6:39:00,,13:11:00,,17:42:00,,19:51:00,,OUT,,,,,,,,,,,,
8888,"BRAWNER, B",50,3:34:00,46,4:14:00,45,4:27:00,52,9:24:00,31,6:32:00,42,4:31:00,21,2:09:00,,,,,,,,,,,,,,
,"NORMAN, G.",50,3:34:00,45,7:48:00,45,12:15:00,43,12:39,43,28:11:00,41,32:42:00,39,34:51:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"VESTER, T.",,13:12:00,,18:50:00,,6:16:00,,12:50:00,,20:36:00,,10:35:00,,OUT,,,,,,,,,,,,,,
69,BROWN. D.,63,4:12:00,68,5:38:00,64,11:26:00,36,6:34:00,57,7:46:00,60,13:59:00,,,,,,,,,,,,,,,,
,"BLEVINS, L",63,4:12:00,67,9:50:00,64,21:16:00,60,27:59:00,60,35:36:00,57,49:35:00,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"ALFORD, TERRY",,11:29:00,,14:58:00,,18:24:00,,23:22:00,,4:44:00,,OUT,,,,,,,,,,,,,,,,
441,"SMART, BOBBY",7,2:29:00,15,3:29:00,13,3:26:00,16,4:58:00,12,5:22:00,,,,,,,,,,,,,,,,,,
,"GREEN, JAMES",7,2:29:00,12,5:58:00,13,9:24:00,14,14:22:00,13,19:44:00,,,,,,,,,,,,,,,,,,
,"OHLEMACHER, PAUL",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ALFORD, CINDY",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"GARTON, TRENTON",,12:27:00,,16:48:00,,21:31:00,,5:59:00,,12:55:00,,OUT,,,,,,,,,,,,,,,,
610,"GARTON, M.",46,3:27:00,51,4:21:00,49,4:43:00,48,8:28:00,43,6:56:00,,,,,,,,,,,,,,,,,,
, ,46,3:27:00,46,7:48:00,49,12:31:00,42,20:59:00,42,27:56:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"EDINGER, TED",,13:33:00,,18:14:00,,23:54:00,,8:04:00,,OUT,,,,,,,,,,,,,,,,,,
322,"DORE, J.",67,4:33:00,55,4:41:00,56,5:40:00,46,8:10:00,,,,,,,,,,,,,,,,,,,,
, ,67,4:33:00,62,9:14:00,57,14:54:00,49,23:04:00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"MORGAN, JULIE",,11:39:00,,15:27:00,,19:10:00,,OUT,, ,,,,,,,,,,,,,,,,,,
9514,"GRIMSHAW, COLIN",13,2:39:00,28,3:48:00,20,3:43:00,37, ,,,,,,,,,,,,,,,,,,,,
,"JOHNSON, SKIP",13,2:39:00,21,6:27:00,20,10:10:00,37, ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"ACKJER, F.",,12:34:00,,16:50:00,,21:30:00,,OUT, , ,,,,,,,,,,,,,,,,,,
1970,"MALLET, K.",49,3:34:00,47,4:16:00,48,4:40:00,29, ,,,,,,,,,,,,,,,,,,,,
,,49,3:34:00,48,7:50:00,47,12:30:00,29, ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"RENDON, MIKE",,11:55:00,,16:02:00,,0:32:00,,OUT,, ,,,,,,,,,,,,,,,,,,
1320,"HOFFMAN, A",24,2:55:00,40,4:07:00,60,8:30:00,12, ,,,,,,,,,,,,,,,,,,,,
, ,24,2:55:00,32,7:02:00,58,15:32:00,14, ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"STARTZ, KENNETH",,12:16:00,,17:02:00,,OUT,, ,,,,,,,,,,,,,,,,,,,,
1234,"STARTZ, L.",40,3:16:00,57,4:46:00, , , , ,,,,,,,,,,,,,,,,,,,,
,,40,3:16:00,52,8:02:00, , , , ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"WUNDER, M.",,16:11:00,,20:19:00,,OUT,, ,,,,,,,,,,,,,,,,,,,,
73,"DENNIS, E.",69,7:11:00,42,4:08:00, , , , ,,,,,,,,,,,,,,,,,,,,
,"MITCHELL, D.",69,7:11:00,68,11:19:00, , , , ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"HAPER, B.",,14:12:00,,20:25:00,,OUT,,,,,,,,,,,,,,,,,,,,,,
75,"GIBSON, V.",68,5:12:00,69,6:13:00, , ,,,,,,,,,,,,,,,,,,,,,,
, ,68,5:12:00,69,11:25:00, , ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
